Age,Gender,Parental_Edu,Income,Prev_Grade,Attendance,Study_Hrs,Motivation,Stress,Social_Media,Sleep,Final_Grade,ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
24,F,High School,Low,51,0.99,3.8,Low,Medium,3.3,7,A,464,male,group A,bachelor's degree,standard,completed,75,58,62
19,M,High School,Low,90,0.93,5.7,Medium,Medium,1.5,6,A,465,female,group C,some college,standard,none,84,87,91
20,M,Bachelor's,Low,94,0.87,2.5,Medium,High,2.8,5,A,466,female,group D,associate's degree,free/reduced,none,26,31,38
19,M,Bachelor's,Low,89,0.8,2.5,High,Medium,2.3,4,A,467,male,group A,high school,free/reduced,completed,72,67,65
20,F,PhD,High,97,0.8,3.4,High,Medium,1.5,4,A,468,female,group A,high school,free/reduced,completed,77,88,85
22,F,Master's,High,73,0.76,5.6,Medium,Low,1.8,7,A,469,male,group C,some college,standard,none,91,74,76
24,M,Master's,Low,78,0.98,3.1,Medium,Medium,2.4,6,A,470,female,group C,associate's degree,standard,completed,83,85,90
22,F,High School,High,52,0.79,2.1,Medium,High,2.1,5,D,471,female,group C,high school,standard,none,63,69,74
20,F,Bachelor's,Low,94,0.85,1.8,Low,Low,2.2,7,A,472,female,group C,associate's degree,standard,completed,68,86,84
22,M,Bachelor's,High,53,0.85,3.3,High,Medium,3.8,6,B,473,female,group D,some high school,standard,none,59,67,61
20,M,High School,Medium,99,0.98,5.0,Medium,Low,1.3,4,A,474,female,group B,associate's degree,standard,completed,90,90,91
18,F,High School,High,51,0.88,2.5,Medium,Low,3.3,5,C,475,female,group D,bachelor's degree,standard,completed,71,76,83
22,F,PhD,High,69,0.87,3.6,Low,Low,3.6,6,A,476,male,group E,bachelor's degree,standard,completed,76,62,66
17,F,Master's,High,64,0.82,4.0,High,Low,4.1,8,A,477,male,group D,associate's degree,standard,none,80,68,72
24,M,Master's,Medium,98,0.89,3.3,Low,Low,4.3,5,A,478,female,group D,master's degree,standard,none,55,64,70
16,M,Master's,Low,81,0.86,2.0,Low,Medium,1.2,8,A,479,male,group E,associate's degree,standard,none,76,71,67
21,M,PhD,High,91,0.77,5.6,Medium,Low,1.1,7,A,480,male,group B,high school,standard,completed,73,71,68
22,M,High School,High,50,0.95,3.8,Low,Low,3.3,6,B,481,female,group D,associate's degree,free/reduced,none,52,59,56
23,F,High School,Medium,87,0.97,4.6,Low,High,3.9,6,A,482,male,group C,some college,free/reduced,none,68,68,61
24,M,Master's,Low,84,0.79,4.2,Medium,High,1.7,6,A,483,male,group A,high school,standard,none,59,52,46
17,M,Master's,High,56,0.8,6.0,High,Low,2.9,6,A,484,female,group B,associate's degree,standard,none,49,52,54
17,F,PhD,Medium,94,0.76,3.3,Medium,Medium,4.0,5,A,485,male,group C,high school,standard,none,70,74,71
20,F,Bachelor's,Low,62,0.82,3.1,High,High,4.0,8,A,486,male,group D,some college,free/reduced,none,61,47,56
20,F,Bachelor's,Low,98,0.79,2.8,Low,High,3.4,8,A,487,female,group C,associate's degree,free/reduced,none,60,75,74
21,M,Master's,High,50,0.96,2.8,Low,Low,0.9,7,B,488,male,group B,some high school,standard,completed,64,53,57
18,F,PhD,High,63,0.91,2.4,Medium,Medium,0.7,7,B,489,male,group A,associate's degree,free/reduced,completed,79,82,82
23,F,Master's,High,78,0.76,5.9,Medium,Medium,2.2,6,A,490,female,group A,associate's degree,free/reduced,none,65,85,76
16,M,Bachelor's,High,52,0.85,5.4,Medium,High,0.6,4,B,491,female,group C,associate's degree,standard,none,64,64,70
21,M,Master's,Medium,95,0.78,2.6,Low,High,4.6,4,B,492,female,group C,some college,standard,none,83,83,90
19,F,Bachelor's,Medium,73,0.85,2.5,Low,High,0.6,6,B,493,female,group C,bachelor's degree,standard,none,81,88,90
16,M,Bachelor's,High,50,0.83,1.5,High,High,0.6,8,C,494,female,group B,high school,standard,none,54,64,68
22,F,Bachelor's,Low,97,0.8,5.4,Medium,High,1.2,7,A,495,male,group D,high school,standard,completed,68,64,66
24,F,High School,High,59,0.98,2.9,Low,Low,3.3,5,B,496,female,group C,some college,standard,none,54,48,52
19,M,High School,Low,62,0.76,3.9,High,Low,2.9,4,B,497,female,group D,some college,free/reduced,completed,59,78,76
19,F,Master's,Low,85,0.89,5.5,Medium,Low,3.5,7,A,498,female,group B,some high school,standard,none,66,69,68
21,M,Bachelor's,Low,58,0.79,3.0,Medium,High,4.5,4,C,499,male,group E,some college,standard,none,76,71,72
18,M,High School,Medium,63,0.86,5.0,High,Low,2.5,8,A,500,female,group D,master's degree,standard,none,74,79,82
21,M,Master's,Low,85,0.87,3.2,High,High,0.7,8,A,501,female,group B,associate's degree,standard,completed,94,87,92
22,F,Master's,Low,59,0.91,4.5,High,Medium,3.9,6,A,502,male,group C,some college,free/reduced,none,63,61,54
18,M,Master's,Medium,89,0.78,3.2,Low,Medium,4.2,6,A,503,female,group E,associate's degree,standard,completed,95,89,92
22,M,Master's,Low,72,0.84,3.0,Medium,Low,0.7,4,B,504,female,group D,master's degree,free/reduced,none,40,59,54
18,F,Master's,Low,84,0.75,6.0,Medium,Medium,1.6,4,A,505,female,group B,some high school,standard,none,82,82,80
17,F,PhD,High,56,0.85,4.1,High,Medium,4.0,7,A,506,male,group A,high school,standard,none,68,70,66
19,F,Bachelor's,Low,91,0.9,2.8,Low,Medium,2.2,6,A,507,male,group B,bachelor's degree,free/reduced,none,55,59,54
23,F,Master's,Low,84,0.85,2.3,High,Low,2.6,8,A,508,male,group C,master's degree,standard,none,79,78,77
24,M,PhD,Low,51,0.83,1.2,Low,Medium,4.2,7,C,509,female,group C,bachelor's degree,standard,none,86,92,87
22,M,Bachelor's,Low,64,0.76,4.5,Medium,Low,0.9,7,A,510,male,group D,some college,standard,none,76,71,73
16,M,High School,Low,58,0.81,2.9,Medium,High,3.5,5,C,511,male,group A,some high school,standard,none,64,50,43
18,F,Master's,Medium,96,0.93,5.1,Low,High,1.5,8,A,512,male,group D,some high school,free/reduced,none,62,49,52
24,F,PhD,Low,66,0.92,2.8,Medium,Low,0.8,7,A,513,female,group B,some high school,standard,completed,54,61,62
16,M,High School,Low,88,0.94,2.9,Medium,Low,3.5,5,A,514,female,group B,master's degree,free/reduced,completed,77,97,94
24,F,PhD,Medium,67,0.81,4.9,High,Medium,1.0,6,A,515,female,group C,some high school,standard,completed,76,87,85
23,F,Bachelor's,Medium,64,0.97,3.4,Low,High,3.9,8,A,516,female,group D,some college,standard,none,74,89,84
16,M,Bachelor's,Low,67,0.83,5.4,Medium,Medium,1.4,6,A,517,female,group E,some college,standard,completed,66,74,73
21,M,High School,Low,73,0.86,4.0,Medium,High,0.7,5,B,518,female,group D,some high school,standard,completed,66,78,78
20,F,PhD,Low,72,0.77,2.2,Low,Medium,0.9,8,A,519,female,group B,high school,free/reduced,completed,67,78,79
21,F,Master's,High,61,0.97,3.8,Medium,Medium,4.3,4,B,520,male,group D,some college,standard,none,71,49,52
20,F,Master's,High,72,0.96,1.0,Low,High,2.2,4,C,521,female,group C,associate's degree,standard,none,91,86,84
21,M,High School,Low,70,0.9,2.6,Low,Medium,1.9,4,B,522,male,group D,bachelor's degree,standard,none,69,58,57
20,M,High School,Medium,75,0.81,2.0,High,High,2.7,7,B,523,male,group C,master's degree,free/reduced,none,54,59,50
20,M,High School,Low,57,0.97,4.3,Low,Low,3.3,4,B,524,male,group C,high school,standard,completed,53,52,49
19,M,PhD,Medium,79,0.79,1.7,High,Medium,0.7,7,A,525,male,group E,some college,standard,none,68,60,59
18,M,Master's,Medium,83,0.99,2.5,Medium,High,4.5,7,A,526,male,group C,some high school,free/reduced,completed,56,61,60
18,F,Master's,Medium,51,0.97,2.7,Low,High,4.8,5,C,527,female,group C,high school,free/reduced,none,36,53,43
19,F,Master's,Low,54,0.81,1.0,High,Medium,2.4,4,C,528,female,group D,bachelor's degree,free/reduced,none,29,41,47
24,F,High School,Low,80,0.93,1.2,Low,High,2.4,8,B,529,female,group C,associate's degree,standard,none,62,74,70
17,M,Master's,Medium,82,0.91,2.6,Medium,Medium,4.5,7,A,530,female,group C,associate's degree,standard,completed,68,67,73
24,M,Bachelor's,High,53,0.9,2.1,High,Medium,2.4,5,B,531,female,group C,some high school,standard,none,47,54,53
16,M,High School,High,55,0.95,1.6,High,Low,4.4,7,B,532,male,group E,associate's degree,standard,completed,62,61,58
16,F,Master's,High,72,0.98,1.8,High,Low,0.6,8,A,533,female,group E,associate's degree,standard,completed,79,88,94
20,M,PhD,Medium,94,0.95,5.2,Medium,Low,2.7,8,A,534,male,group B,high school,standard,completed,73,69,68
21,M,High School,Low,68,0.93,4.4,High,Medium,4.8,4,A,535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
21,F,Bachelor's,Medium,92,0.99,3.4,Medium,Medium,1.6,7,A,536,male,group C,associate's degree,standard,completed,51,60,58
18,M,Bachelor's,High,94,0.92,5.5,Medium,High,1.7,8,A,537,female,group D,high school,standard,none,51,66,62
22,F,PhD,Low,57,0.93,1.1,Low,Low,3.3,6,C,538,male,group E,bachelor's degree,standard,completed,85,66,71
24,M,PhD,Medium,88,0.78,2.7,Medium,Low,4.7,8,A,539,male,group A,associate's degree,standard,completed,97,92,86
23,M,High School,Medium,62,0.75,5.1,High,High,1.4,8,A,540,male,group C,high school,standard,completed,75,69,68
21,F,High School,High,50,0.78,4.1,High,Low,4.6,7,A,541,male,group D,associate's degree,free/reduced,completed,79,82,80
23,F,Bachelor's,Medium,55,0.78,5.9,Medium,Low,3.5,8,A,542,female,group C,associate's degree,standard,none,81,77,79
20,F,PhD,Low,56,0.83,5.7,Medium,Low,5.0,5,A,543,female,group D,associate's degree,standard,none,82,95,89
23,F,High School,High,97,0.82,1.8,Low,High,3.8,8,A,544,female,group D,master's degree,standard,none,64,63,66
19,F,Bachelor's,High,76,0.76,5.9,Low,Low,3.5,6,A,545,male,group E,some high school,free/reduced,completed,78,83,80
23,F,PhD,Low,64,0.97,5.7,High,Medium,4.2,8,A,546,female,group A,some high school,standard,completed,92,100,97
17,M,Bachelor's,High,83,0.8,2.9,Medium,Low,1.3,4,B,547,male,group C,high school,standard,completed,72,67,64
20,M,Master's,Medium,72,0.97,5.9,High,Medium,4.8,7,A,548,female,group C,high school,free/reduced,none,62,67,64
24,F,PhD,Medium,97,0.85,1.2,Medium,Low,1.2,6,A,549,male,group C,master's degree,standard,none,79,72,69
19,M,High School,High,98,0.78,4.3,High,Medium,0.6,5,A,550,male,group C,some high school,free/reduced,none,79,76,65
21,F,High School,Low,73,0.88,2.3,High,Low,3.6,8,A,551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
16,M,Master's,Medium,64,0.95,1.6,High,Medium,1.3,8,A,552,female,group B,associate's degree,standard,none,40,48,50
24,F,PhD,Low,84,0.96,3.9,Medium,Medium,3.9,5,A,553,male,group D,some college,free/reduced,none,77,62,64
16,M,Bachelor's,Medium,53,0.83,2.5,Low,Low,4.1,8,B,554,male,group E,associate's degree,standard,none,53,45,40
20,M,High School,Medium,93,0.76,4.3,Low,High,1.6,4,A,555,female,group C,some college,free/reduced,none,32,39,33
19,M,Master's,High,86,0.99,3.7,Medium,Low,0.9,6,A,556,female,group C,associate's degree,standard,completed,55,72,79
18,M,Master's,High,66,0.75,3.0,Low,High,2.8,8,B,557,male,group C,master's degree,free/reduced,none,61,67,66
21,M,PhD,Low,80,0.78,1.9,High,High,4.5,5,B,558,female,group B,associate's degree,free/reduced,none,53,70,70
17,F,PhD,High,87,0.86,4.0,Medium,High,4.3,5,A,559,male,group D,some high school,standard,none,73,66,62
18,F,High School,Medium,59,0.79,5.1,Medium,High,1.0,6,B,560,female,group D,some college,standard,completed,74,75,79
20,F,Master's,Medium,99,0.83,4.0,Low,High,4.8,4,A,561,female,group C,some college,standard,none,63,74,74
24,M,Bachelor's,Low,76,0.96,4.1,Low,High,1.7,6,A,562,male,group C,bachelor's degree,standard,completed,96,90,92
17,F,Master's,Low,91,0.78,3.6,High,Low,2.1,8,A,563,female,group D,some college,free/reduced,completed,63,80,80
23,M,Bachelor's,Medium,55,0.9,2.9,Medium,Medium,1.2,4,C,564,male,group B,bachelor's degree,free/reduced,none,48,51,46
17,M,Bachelor's,High,55,0.76,3.3,Low,Medium,2.2,4,C,565,male,group B,associate's degree,standard,none,48,43,45
20,M,High School,High,64,0.9,5.9,Medium,Low,3.4,5,A,566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
22,F,Master's,Low,53,0.9,4.7,High,Low,2.8,4,A,567,female,group D,master's degree,free/reduced,completed,61,71,78
23,M,Bachelor's,Low,97,0.95,3.2,High,Low,4.2,8,A,568,male,group B,high school,free/reduced,none,63,48,47
16,F,PhD,Medium,89,0.98,3.3,High,High,3.4,8,A,569,male,group D,bachelor's degree,free/reduced,none,68,68,67
21,F,Bachelor's,Medium,56,0.98,3.5,Medium,High,1.7,8,B,570,male,group B,some college,standard,completed,71,75,70
16,M,PhD,Low,98,0.96,4.3,Medium,Medium,3.0,7,A,571,male,group A,bachelor's degree,standard,none,91,96,92
17,M,PhD,Medium,94,0.85,3.3,Medium,Low,0.8,4,A,572,female,group C,some college,standard,none,53,62,56
16,F,Master's,Low,96,0.75,4.4,Medium,Medium,3.1,4,A,573,female,group C,high school,free/reduced,completed,50,66,64
20,F,PhD,Low,75,0.89,2.6,Medium,Medium,2.3,8,A,574,female,group E,high school,standard,none,74,81,71
24,F,Bachelor's,High,80,0.98,3.1,High,High,0.9,5,A,575,male,group A,associate's degree,free/reduced,completed,40,55,53
21,F,PhD,Low,51,0.78,5.3,High,High,1.9,4,B,576,male,group A,some college,standard,completed,61,51,52
16,F,Master's,Medium,77,0.92,2.6,High,Medium,4.5,7,A,577,female,group B,high school,standard,none,81,91,89
16,F,High School,High,91,0.91,5.8,Low,High,3.1,4,A,578,female,group B,some college,free/reduced,completed,48,56,58
17,M,Bachelor's,High,62,0.81,1.9,High,High,4.6,6,C,579,female,group D,master's degree,standard,none,53,61,68
24,F,Bachelor's,Medium,67,0.92,2.2,Medium,High,2.3,7,B,580,female,group D,some high school,standard,none,81,97,96
18,F,Master's,Medium,79,0.87,3.3,High,Medium,4.9,5,A,581,female,group E,some high school,standard,none,77,79,80
16,F,Master's,Medium,60,0.94,5.0,Low,Medium,2.1,7,A,582,female,group D,bachelor's degree,free/reduced,none,63,73,78
20,F,Master's,Low,62,0.94,4.7,Low,Medium,3.9,7,A,583,female,group D,associate's degree,standard,completed,73,75,80
22,M,Master's,High,73,0.84,1.9,Low,Low,1.9,4,C,584,female,group D,some college,standard,none,69,77,77
21,M,Bachelor's,Low,78,0.75,2.2,Low,Medium,1.0,7,A,585,female,group C,associate's degree,standard,none,65,76,76
16,F,High School,Low,54,0.76,3.9,Low,High,4.2,8,B,586,female,group A,high school,standard,none,55,73,73
20,F,PhD,Low,84,0.91,2.5,Medium,Medium,3.9,7,A,587,female,group C,bachelor's degree,free/reduced,none,44,63,62
20,F,PhD,Low,68,0.96,3.1,High,Low,4.2,4,A,588,female,group C,some college,standard,none,54,64,65
21,M,High School,High,62,0.77,3.4,Medium,High,1.8,8,B,589,female,group A,some high school,standard,none,48,66,65
18,M,High School,High,54,0.91,4.0,Medium,Medium,3.7,5,B,590,male,group C,some college,free/reduced,none,58,57,54
20,M,High School,Low,93,0.86,2.3,Low,Medium,1.5,6,A,591,male,group A,some high school,standard,none,71,62,50
22,M,Master's,Medium,63,0.98,1.8,High,High,0.6,7,B,592,male,group E,bachelor's degree,standard,none,68,68,64
20,M,Bachelor's,High,87,0.86,3.0,High,Medium,4.4,8,A,593,female,group E,high school,standard,none,74,76,73
20,M,Bachelor's,Low,71,0.94,1.4,High,Low,2.9,8,A,594,female,group C,bachelor's degree,standard,completed,92,100,99
20,F,Bachelor's,Medium,58,0.84,3.6,Low,High,4.9,5,C,595,female,group C,bachelor's degree,standard,completed,56,79,72
18,M,Master's,Medium,98,0.81,5.2,Medium,Medium,2.2,5,A,596,male,group B,high school,free/reduced,none,30,24,15
16,M,Bachelor's,Low,89,0.84,1.6,High,High,4.8,6,A,597,male,group A,some high school,standard,none,53,54,48
20,F,Master's,High,75,0.92,1.6,Medium,Medium,3.3,6,B,598,female,group D,high school,standard,none,69,77,73
24,M,Bachelor's,Medium,94,0.96,1.4,High,Medium,2.8,4,A,599,female,group D,some high school,standard,none,65,82,81
16,F,High School,High,54,0.8,5.2,High,High,1.9,6,A,600,female,group D,master's degree,standard,none,54,60,63
18,M,PhD,High,78,0.81,1.4,High,Medium,4.2,6,A,601,female,group C,high school,standard,none,29,29,30
19,F,PhD,Medium,71,0.91,5.9,High,Medium,4.2,8,A,602,female,group E,some college,standard,none,76,78,80
16,F,Master's,Low,98,0.86,2.8,Low,High,2.4,7,A,603,male,group D,high school,free/reduced,none,60,57,51
16,F,Bachelor's,Medium,52,0.91,2.6,Low,Medium,3.8,7,B,604,male,group D,master's degree,free/reduced,completed,84,89,90
23,F,PhD,Medium,77,0.92,1.5,Medium,Medium,2.5,6,B,605,male,group C,some high school,standard,none,75,72,62
17,F,High School,High,87,0.88,3.9,Low,High,3.8,4,A,606,female,group C,associate's degree,standard,none,85,84,82
23,M,High School,Low,63,0.85,3.9,High,Low,5.0,4,A,607,female,group C,master's degree,free/reduced,none,40,58,54
22,M,High School,High,96,0.76,3.5,Medium,Low,1.7,7,A,608,female,group E,some college,standard,none,61,64,62
17,F,Master's,Medium,63,0.95,2.6,Medium,Low,3.4,5,B,609,female,group B,associate's degree,standard,none,58,63,65
21,F,Master's,Low,92,0.75,2.8,Medium,Low,2.2,8,A,610,male,group D,some college,free/reduced,completed,69,60,63
21,F,Bachelor's,Low,60,0.85,2.6,High,Low,3.0,6,B,611,female,group C,some college,standard,none,58,59,66
18,M,High School,Low,58,0.76,3.1,High,Low,4.4,8,A,612,male,group C,bachelor's degree,standard,completed,94,90,91
17,F,Bachelor's,Low,87,0.9,2.7,Medium,High,2.1,6,A,613,female,group C,associate's degree,standard,none,65,77,74
16,F,Bachelor's,Low,96,0.96,4.4,Low,High,0.8,6,A,614,female,group A,associate's degree,standard,none,82,93,93
21,F,High School,Medium,93,0.77,2.5,High,High,4.1,7,A,615,female,group C,high school,standard,none,60,68,72
20,F,Bachelor's,Medium,55,0.94,2.8,High,Medium,3.0,8,A,616,female,group E,bachelor's degree,standard,none,37,45,38
24,M,PhD,Medium,50,0.75,3.2,Low,Low,2.5,8,B,617,male,group D,bachelor's degree,standard,none,88,78,83
16,F,Master's,High,74,0.95,1.0,Medium,Low,1.3,5,B,618,male,group D,master's degree,standard,none,95,81,84
22,F,Bachelor's,Low,65,0.94,3.5,Low,High,0.9,5,B,619,male,group C,associate's degree,free/reduced,completed,65,73,68
20,M,High School,Low,64,0.82,2.3,High,Medium,1.8,8,A,620,female,group C,high school,free/reduced,none,35,61,54
20,F,Master's,Medium,83,0.93,1.3,Medium,Medium,3.7,5,B,621,male,group B,bachelor's degree,free/reduced,none,62,63,56
17,F,Master's,Low,66,0.75,5.6,Medium,High,2.4,5,A,622,male,group C,high school,free/reduced,completed,58,51,52
18,M,Bachelor's,High,52,0.79,2.6,Low,Low,3.1,6,C,623,male,group A,some college,standard,completed,100,96,86
22,M,PhD,Low,52,0.75,3.1,High,Medium,0.9,7,B,624,female,group E,bachelor's degree,free/reduced,none,61,58,62
21,M,Bachelor's,Low,86,0.85,5.1,High,Low,1.1,6,A,625,male,group D,some college,standard,completed,100,97,99
17,F,PhD,High,66,0.95,1.8,Medium,Medium,0.6,5,B,626,male,group B,associate's degree,free/reduced,completed,69,70,63
21,F,Master's,Medium,98,0.83,5.3,High,Low,3.5,6,A,627,male,group D,associate's degree,standard,none,61,48,46
17,M,Bachelor's,Medium,87,0.79,2.2,Medium,Medium,1.7,6,A,628,male,group D,some college,free/reduced,none,49,57,46
17,M,High School,Low,50,0.76,3.9,Medium,Low,4.9,4,C,629,female,group C,some high school,standard,completed,44,51,55
17,M,Bachelor's,High,56,0.87,4.4,Medium,Low,1.9,6,A,630,male,group D,some college,standard,none,67,64,70
18,F,PhD,Medium,75,0.92,5.5,High,Low,2.1,6,A,631,male,group B,high school,standard,none,79,60,65
17,F,PhD,Medium,96,0.99,4.0,Low,High,2.6,7,A,632,female,group B,bachelor's degree,standard,completed,66,74,81
19,M,Bachelor's,Medium,88,0.86,3.3,Medium,Low,1.9,8,A,633,female,group C,high school,standard,none,75,88,85
24,F,PhD,Low,68,0.88,3.9,Low,Low,4.2,4,B,634,male,group D,some high school,standard,none,84,84,80
21,M,Master's,High,79,0.79,2.0,Low,Medium,4.4,4,B,635,male,group A,high school,standard,none,71,74,64
16,F,Bachelor's,Low,92,0.98,4.4,Low,Medium,0.5,4,A,636,female,group B,high school,free/reduced,completed,67,80,81
23,F,PhD,Medium,63,0.84,1.9,Low,High,3.4,4,D,637,female,group D,some high school,standard,completed,80,92,88
22,F,Bachelor's,High,62,0.94,3.8,Low,Medium,3.6,7,A,638,male,group E,some college,standard,none,86,76,74
18,F,Bachelor's,Low,69,0.76,4.2,Medium,Low,4.8,8,A,639,female,group D,associate's degree,standard,none,76,74,73
16,M,High School,Medium,75,0.78,5.5,High,High,2.2,7,A,640,male,group D,high school,standard,none,41,52,51
20,F,Bachelor's,Medium,76,0.86,3.3,Low,High,1.4,4,B,641,female,group D,associate's degree,free/reduced,completed,74,88,90
19,F,High School,Low,74,0.85,4.9,High,High,2.8,8,A,642,female,group B,some high school,free/reduced,none,72,81,79
23,M,PhD,Medium,58,0.78,1.8,High,Low,2.5,7,B,643,female,group E,high school,standard,completed,74,79,80
16,F,High School,Medium,90,0.85,1.8,Medium,Low,4.1,8,A,644,male,group B,high school,standard,none,70,65,60
16,M,High School,High,97,0.83,3.6,Low,Medium,4.6,7,A,645,female,group B,bachelor's degree,standard,completed,65,81,81
19,M,High School,Medium,61,0.84,4.0,High,Medium,0.9,8,A,646,female,group D,associate's degree,standard,none,59,70,65
23,F,Master's,Low,59,0.8,4.2,High,Medium,4.3,7,A,647,female,group E,high school,free/reduced,none,64,62,68
20,F,High School,High,55,0.89,4.7,Low,High,4.6,4,B,648,female,group B,high school,standard,none,50,53,55
17,M,Bachelor's,Low,99,0.84,2.5,Medium,Low,4.7,4,A,649,female,group D,some college,standard,completed,69,79,81
21,M,High School,Medium,83,0.96,4.1,Medium,Medium,3.9,4,A,650,male,group C,some high school,free/reduced,completed,51,56,53
20,M,Bachelor's,High,90,0.95,1.9,Low,Low,3.8,7,A,651,female,group A,high school,standard,completed,68,80,76
17,F,High School,High,68,0.8,2.1,High,High,0.6,8,B,652,female,group D,some college,standard,completed,85,86,98
18,M,Master's,High,55,0.75,1.3,Medium,Low,4.6,8,C,653,female,group A,associate's degree,standard,completed,65,70,74
24,M,PhD,High,51,0.95,4.7,Medium,Low,2.1,5,B,654,female,group B,some high school,standard,none,73,79,79
22,M,High School,Low,64,0.96,3.5,High,High,0.7,6,A,655,female,group B,some college,standard,none,62,67,67
22,F,High School,Medium,66,0.98,2.2,High,Medium,2.4,4,B,656,male,group C,associate's degree,free/reduced,none,77,67,64
21,M,Master's,Medium,65,0.94,3.8,High,Low,3.8,4,A,657,male,group D,some high school,standard,none,69,66,61
23,F,High School,High,77,0.95,2.8,High,Low,2.5,4,A,658,female,group D,associate's degree,free/reduced,none,43,60,58
19,F,Bachelor's,Medium,70,0.78,5.2,Low,High,3.9,5,A,659,male,group D,associate's degree,standard,none,90,87,85
23,M,High School,Low,57,0.97,3.6,High,Low,2.8,5,A,660,male,group C,some college,free/reduced,none,74,77,73
19,F,High School,Medium,59,0.96,1.1,Medium,Low,1.8,5,C,661,male,group C,some high school,standard,none,73,66,63
23,M,PhD,Low,59,0.88,5.9,High,Low,1.4,4,A,662,female,group D,some college,free/reduced,none,55,71,69
24,F,PhD,Low,99,0.94,1.4,High,High,2.4,8,A,663,female,group C,high school,standard,none,65,69,67
18,F,High School,Medium,59,0.96,4.5,Low,Low,0.7,4,B,664,male,group D,associate's degree,standard,none,80,63,63
18,M,Master's,Low,58,0.94,3.2,Low,High,2.4,5,C,665,female,group C,some high school,free/reduced,completed,50,60,60
17,M,PhD,Low,77,0.82,2.2,High,Medium,0.8,5,A,666,female,group C,some college,free/reduced,completed,63,73,71
18,M,High School,Low,73,0.85,4.4,Low,Low,4.4,6,A,667,female,group B,bachelor's degree,free/reduced,none,77,85,87
18,F,PhD,Low,68,0.89,1.6,Low,High,3.1,7,B,668,male,group C,some college,standard,none,73,74,61
20,F,High School,High,82,0.93,5.3,Low,High,3.4,6,A,669,male,group D,associate's degree,standard,completed,81,72,77
20,M,PhD,Medium,53,0.82,2.3,Low,Low,1.8,6,C,670,female,group C,high school,free/reduced,none,66,76,68
17,M,PhD,High,52,0.87,2.8,High,High,1.5,4,C,671,male,group D,associate's degree,free/reduced,none,52,57,50
21,F,Bachelor's,Low,91,0.92,4.2,Low,Medium,3.7,7,A,672,female,group C,some college,standard,none,69,78,76
20,F,High School,Medium,61,0.96,1.0,Low,Medium,3.5,7,B,673,female,group C,associate's degree,standard,completed,65,84,84
21,F,High School,Low,67,0.98,3.4,Medium,Medium,1.1,4,B,674,female,group D,high school,standard,completed,69,77,78
16,M,High School,Medium,72,0.91,5.5,High,Medium,1.6,8,A,675,female,group B,some college,standard,completed,50,64,66
20,F,High School,High,69,0.8,4.4,Low,High,4.8,4,B,676,female,group E,some college,standard,completed,73,78,76
24,M,PhD,Medium,55,0.99,2.9,Medium,High,1.9,8,B,677,female,group C,some high school,standard,completed,70,82,76
17,F,Bachelor's,Low,83,0.89,4.3,Low,Medium,0.6,8,A,678,male,group D,associate's degree,free/reduced,none,81,75,78
16,F,Bachelor's,Medium,91,0.87,5.7,High,Medium,0.8,7,A,679,male,group D,some college,free/reduced,none,63,61,60
24,M,Master's,Medium,51,0.92,1.9,Medium,Medium,4.0,4,C,680,female,group D,high school,standard,none,67,72,74
24,M,High School,High,79,0.85,3.7,Medium,Medium,3.9,4,A,681,male,group B,high school,standard,none,60,68,60
24,M,Master's,Low,58,0.87,2.2,High,Medium,2.2,7,B,682,male,group B,high school,standard,none,62,55,54
21,F,PhD,Medium,76,0.75,5.3,Medium,High,1.2,6,A,683,female,group C,some high school,free/reduced,completed,29,40,44
23,F,Master's,High,91,0.92,4.6,Medium,Medium,2.7,4,A,684,male,group B,some college,standard,completed,62,66,68
16,F,High School,Medium,83,0.79,5.0,Low,Medium,2.0,5,A,685,female,group E,master's degree,standard,completed,94,99,100
19,M,Bachelor's,Low,89,0.8,5.7,Medium,Low,2.2,5,A,686,male,group E,some college,standard,completed,85,75,68
16,F,Bachelor's,Medium,73,0.75,2.2,High,High,1.7,4,C,687,male,group D,associate's degree,free/reduced,none,77,78,73
23,M,High School,Medium,98,0.81,1.2,Low,Medium,0.8,8,A,688,male,group A,high school,free/reduced,none,53,58,44
16,M,PhD,Medium,66,0.78,2.5,Medium,High,4.1,7,B,689,male,group E,some college,free/reduced,none,93,90,83
18,M,High School,Medium,78,0.83,3.0,Low,Low,3.3,8,A,690,female,group C,associate's degree,standard,none,49,53,53
19,F,PhD,Low,85,0.89,4.1,High,Low,4.3,5,A,691,female,group E,associate's degree,free/reduced,none,73,76,78
23,F,Bachelor's,High,99,0.8,5.0,Medium,Medium,2.8,5,A,692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
21,M,PhD,High,61,0.99,2.7,High,Medium,4.9,7,A,693,female,group D,associate's degree,standard,none,77,77,73
22,F,High School,Medium,80,0.91,3.4,High,Medium,4.8,5,A,694,female,group C,some high school,standard,none,49,63,56
23,M,High School,Low,98,0.94,4.9,Medium,Medium,1.7,6,A,695,female,group D,some college,free/reduced,none,79,89,86
17,M,High School,Low,58,0.92,2.1,Medium,Low,2.2,5,C,696,female,group C,associate's degree,standard,completed,75,82,90
